epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2268.82,1.53681,5.19858,1.76473,0.36719,0.35897,0.29666,0.20194,1.24184,3.4549,1.60204,2.69932e-05,2.69932e-05,2.69932e-05
2,4023.35,1.33104,3.10984,1.55197,0.47062,0.57778,0.57937,0.39267,1.18529,2.43892,1.53437,5.29242e-05,5.29242e-05,5.29242e-05
3,5690.77,1.28349,2.37443,1.51401,0.68967,0.60096,0.71892,0.48653,1.15542,1.94369,1.51457,7.77859e-05,7.77859e-05,7.77859e-05
4,7314.33,1.26285,1.94993,1.4892,0.68376,0.71886,0.78459,0.55605,1.11962,1.56837,1.47968,7.61886e-05,7.61886e-05,7.61886e-05
5,8948.12,1.22909,1.68677,1.4647,0.69816,0.75462,0.81999,0.56878,1.11703,1.43629,1.47788,7.45848e-05,7.45848e-05,7.45848e-05
6,11055.7,1.19685,1.50745,1.43762,0.78695,0.78683,0.86419,0.61885,1.05888,1.34968,1.42302,7.2981e-05,7.2981e-05,7.2981e-05
7,12860.3,1.17315,1.38057,1.42841,0.77865,0.82943,0.88483,0.63566,1.05202,1.10901,1.41103,7.13772e-05,7.13772e-05,7.13772e-05
8,14551.2,1.15674,1.27969,1.41047,0.80291,0.84359,0.90427,0.65451,1.05406,1.10857,1.42034,6.97734e-05,6.97734e-05,6.97734e-05
9,16334.8,1.13014,1.20439,1.38428,0.85905,0.85132,0.91474,0.67147,1.02937,0.98637,1.39127,6.81696e-05,6.81696e-05,6.81696e-05
10,18161.9,1.11744,1.1354,1.38355,0.85195,0.88978,0.93905,0.69544,1.01834,0.90102,1.37702,6.65658e-05,6.65658e-05,6.65658e-05
11,19758.8,1.08517,1.06916,1.35233,0.87391,0.88108,0.94606,0.69018,1.03627,0.80242,1.38178,6.4962e-05,6.4962e-05,6.4962e-05
12,21467.9,1.08369,1.03242,1.35174,0.87776,0.88005,0.95414,0.70419,0.99154,0.78558,1.3636,6.33582e-05,6.33582e-05,6.33582e-05
13,23261,1.07661,0.9832,1.34861,0.87706,0.90917,0.95255,0.70522,1.01316,0.68762,1.36214,6.17544e-05,6.17544e-05,6.17544e-05
14,24812.3,1.05663,0.95878,1.33782,0.90044,0.90682,0.96782,0.71953,0.99793,0.65624,1.35464,6.01506e-05,6.01506e-05,6.01506e-05
15,1690.03,1.05806,0.91359,1.33545,0.89367,0.88845,0.96752,0.72478,0.98612,0.67484,1.34855,5.85468e-05,5.85468e-05,5.85468e-05
16,3341.59,1.03433,0.89483,1.32002,0.88307,0.91868,0.95785,0.72085,0.99233,0.61702,1.36217,5.6943e-05,5.6943e-05,5.6943e-05
17,4944.14,1.01302,0.84665,1.3042,0.93542,0.91081,0.97008,0.72934,0.99162,0.57457,1.36081,5.53392e-05,5.53392e-05,5.53392e-05
18,6501.05,1.00599,0.82066,1.29332,0.88903,0.91605,0.9618,0.72201,0.97186,0.59503,1.34671,5.37354e-05,5.37354e-05,5.37354e-05
19,8076.51,0.98984,0.79419,1.28716,0.91719,0.93188,0.9683,0.72878,0.97368,0.55595,1.33354,5.21316e-05,5.21316e-05,5.21316e-05
20,10112,0.98469,0.7606,1.27907,0.92027,0.93665,0.97663,0.73842,0.96872,0.52124,1.33086,5.05278e-05,5.05278e-05,5.05278e-05
21,11967.1,0.95623,0.74509,1.27159,0.93198,0.92766,0.98038,0.73835,0.96965,0.49986,1.33779,4.8924e-05,4.8924e-05,4.8924e-05
22,13601.1,0.95364,0.72674,1.26131,0.9367,0.92669,0.98153,0.74247,0.96217,0.51665,1.33758,4.73202e-05,4.73202e-05,4.73202e-05
23,15224.5,0.94196,0.70466,1.24936,0.9337,0.90893,0.97262,0.73397,0.96366,0.52016,1.33638,4.57164e-05,4.57164e-05,4.57164e-05
24,16775,0.93149,0.68616,1.25109,0.93898,0.93265,0.9767,0.75276,0.94721,0.50294,1.32117,4.41126e-05,4.41126e-05,4.41126e-05
